company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",GLAUCOT TEKNOLOJİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://glaucot.com/
Çevre Teknolojileri,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",DATUM DENİZALTI TEKNOLOJİLERİ UYGULAMA VE MÜHENDİSLİK ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://datumsubs.com/
Pazarlama Teknoloji,ariteknokent@ariteknokent.com.tr,"&Ccedil;ek Kazan, size yaptığınız g&uuml;nl&uuml;k alışverişlerden s&uuml;rpriz hediyeler ve puanlar kazandıran bir firmadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",JUSTSNAP TEKNOLOJİ TİCARET ANONİM ŞİRKETİ,+90 (212) 285 71 92,http://www.barn.com.tr/
Yazılım,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 4 Binası Maslak / İstanbul",WOPPY TEKNOLOJİ ANONİM ŞİRKETİ,+90 (212) 309 99 95,http://woppy.cc/
Biyoloji - Gıda Müh.,,"Sbs Bilimsel, T&uuml;rkiye&#39;de &ldquo;S&ouml;zleşmeli Arıcılık&rdquo; modelini ilk defa &Ccedil;inden alınan propolisin yerli &uuml;retimine d&ouml;neminden itibaren.",Ankara,SBS,,http://sbs-turkey.com/
3D Printing,ariteknokent@ariteknokent.com.tr,"Orthero, plakları dişlerinizi olması gereken ideal pozisyona getirecek en yeni ortodontik &ccedil;&ouml;z&uuml;md&uuml;r.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",ŞEFFAF APAREY ORTODONTİ VE ELEKTRONİK SAN. VE TİC. A.Ş.,+90 (212) 285 07 89,http://www.orthero.com.tr
İnşaat,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",HARCY YAPI MALZEMELERİ VE İNŞAAT SANAYİ TİCARET A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://harcy.com.tr/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",WEARTECHCLUB GİYİLEBİLİR SPOR ÜRÜNLERİ HİZMET VE TEKNOLOJİLERİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://www.weartechclub.com/
Otomasyon,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",ISRA VISION YAPAY GÖRME VE OTOMASYON SAN. VE TİC. A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.isravision.com/en-en
Yazılım,ariteknokent@ariteknokent.com.tr,"TELEPORTER, insanları g&uuml;&ccedil;l&uuml; bir algı etrafında heyecanlandırmak, meşgul etmek ve bir araya getirmek i&ccedil;in oyunun g&uuml;c&uuml;ne inanan bir firmadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",TELEPORTER YAZILIM A.Ş.,+90 (212) 285 71 92,https://teleporter.gg/
Pazarlama Teknoloji,ariteknokent@ariteknokent.com.tr,"RMC, pazarlamacıların t&uuml;m bağlantılı temas noktalarında kişiselleştirilmiş m&uuml;şteri deneyimleri oluşturmak i&ccedil;in t&uuml;m &ccedil;evrimi&ccedil;i ve &ccedil;evrimdışı veri kaynaklarını birleştirmesine ve birleştirmesine yardımcı olmak i&ccedil;in analitik odaklı &ccedil;apraz kanal kişiselleştirme &ccedil;&ouml;z&uuml;mleri sunar.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",OMNİ KANAL DİJİTAL TEKNOLOJİ VE ARGE YAZILIM HİZMETLERİ A.Ş.,+90 (212) 285 71 92,https://www.relateddigital.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",WeWALK Teknoloji A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://wewalk.io/tr/
Bilgi Teknolojisi,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",COOL NFC BİLGİ TEKNOLOJİLERİ A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://usecoolcard.com/
Yazılım,ariteknokent@ariteknokent.com.tr,"Kuvars, amiral gemisi &uuml;r&uuml;n&uuml;&nbsp;Kephas Framework (arama dilinde &quot;taş&quot;), uygulamalar ve uygulama ekosistemleri i&ccedil;in sağlam bir altyapı sunmayı ama&ccedil;lar.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",KUVARS YAZILIM ARGE MÜHENDİSLİK SANAYİ TİCARET LTD. ŞTİ.,+90 (212) 285 45 79-80 (4 Hat),http://quartz-software.com/
Yazılım,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",HEDGEBLUE YAZILIM VE DANIŞMANLIK ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://hedgeblue.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",Beebird Teknoloji Anonim Şirketi,+90 (212) 285 45 79-80 (4 Hat),https://beebird.io/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",DMASE TEKNOLOJİ VE İNOVASYON TİC. LTD. ŞTİ.,+90 (212) 285 45 79-80 (4 Hat),
Bilişim,ariteknokent@ariteknokent.com.tr,"SENSAİ TEKNOLOJİ, AR Tabanlı Sanal Deneme ve Sanal Deneme &Ccedil;&ouml;z&uuml;mleri yapan bir firmadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",SENSAİ TEKNOLOJİ A.Ş.,+90 (212) 285 71 92,https://sensaitechs.com/
Yazılım,ariteknokent@ariteknokent.com.tr,"Databin, KVKK ve GDPR başta olmak &uuml;zere &ccedil;eşitli kişisel verilerin işlenmesi, saklanması, aktarılması, ve bu s&uuml;re&ccedil;lerde gizlilik haklarının korunmasına y&ouml;nelik &ccedil;eşitli kanun ve reg&uuml;lasyonların gerekliliklerinin karşılanması hizmeti verir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",DATABİN YAZILIM DANIŞMANLIK EĞİTİM HİZMETLERİ İTHALAT İHRACAT LİMİTED ŞİRKETİ,+90 (212) 285 71 92,https://databin.net/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"D&uuml;nyanın en b&uuml;y&uuml;k &uuml;&ccedil;&uuml;nc&uuml;, Avrupa&rsquo;nın ise en b&uuml;y&uuml;k ikinci havacılık ve seyahat teknolojileri firması olan Hitit, 50&rsquo;den fazla &uuml;lkede 70&rsquo;in &uuml;zerinde Partnerine sunduğu yazılım &ccedil;&ouml;z&uuml;mleriyle her yıl 110 milyondan fazla yolcunun seyahatine teknolojisiyle katkı sağlamaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",HİTİT,+90 (212) 285 07 89,http://www.hititcs.com/
Madencilik,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",İTÜ MADEN FAKÜLTESİ VAKFI İKTİSADİ İŞLETMELERİ,+90 (212) 285 45 79-80 (4 Hat),https://mines.itu.edu.tr/
Eğitim,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",EDUTR EĞİTİM VE TEKNOLOJİ LİMİTED ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),
Mühendislik,ariteknokent@ariteknokent.com.tr,"ARE, &ccedil;alışma hayatı s&uuml;resince, kamu ve &ouml;zel sekt&ouml;rdeki &ouml;nemli kuruluşlara ulusal ve uluslararası partnerleriyle m&uuml;hendislik, &ouml;l&ccedil;&uuml;m, optimizasyon, eğitim ve danışmanlık hizmetleri vermektedir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ARE Mühendislik Müşavirlik Eğitim ve Dış Tic. A.Ş.,+90 (212) 285 71 92,http://www.aremuhendislik.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",Xometry TR Teknoloji A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://xometry.com.tr/tr/
Havacılık,,"AES M&uuml;hendislik, savunma sanayi, havacılık ve uzay, otomotiv alanlarında; insansız hava aracı sistemlerinin tasarımı, geliştirilmesi ve testleri; nano/mikro uydu sistemlerinin tasarımı, geliştirilmesi ve testleri; otomotiv aerodinamik, aeroakustik ve aerotermal problemlerinin &ccedil;&ouml;z&uuml;m&uuml; vb. hizmetlerle &uuml;lkemizde &ccedil;ok sayıda partner ve m&uuml;şteri firmaya destek vermektedir.",Ankara,AES MÜHENDİSLİK,,http://www.aes-tr.com
Danışmanlık,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",İNTERAKTİFKREDİ DANIŞMANLIK A.Ş.,+90 (212) 285 71 92,https://interaktifkredi.com.tr/
BİYOTEKNOLOJİ,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",BIOORIGIN BİYOTEKNOLOJİ VE ÇEVRE TEKNOLOJİLERİ A.Ş.,+90 (212) 285 45 79-80 (4 Hat),
Pazarlama Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",TAG BİLİŞİM TİCARET VE PAZARLAMA A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.tgworkshop.com/
Makine,ariteknokent@ariteknokent.com.tr,VICON firması geliştirdiği s&uuml;re&ccedil; iyileştirmeleri ile seriden &ouml;zele verimli &uuml;retim i&ccedil;in bilimsel yaklaşımlar sunmaktadır &nbsp;,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",VICON,+90 (212) 285 07 89,http://www.viconeng.com
Bilgi Teknolojisi,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",PIXERY BILGI TEKNOLOJILERI ANONIM SIRKETI,+90 (212) 285 45 79-80 (4 Hat),https://www.pixerylabs.com/
"Geri Dönüşüm,Çevre Teknolojileri ve Müh.,Çevre ve Enerji Tek.",ariteknokent@ariteknokent.com.tr,ENVIS çevre ve enerji alanında karşılaşılan problemlere özel çözümler üretmek &uuml;zere ulusal ve uluslar arası standartlar ile uyumlu teknoloji desteği sağlar.&nbsp;,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ENVİS,+90 (212) 285 71 92,http://www.envis.com.tr/
BİYOTEKNOLOJİ,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",VIVO BİYOTEKNOLOJİ YAZILIM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),http://www.vivobio.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",KRATOS 3D TEKNOLOJİLERİ SANAYİ TİCARET ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://kratos3d.com/
Havacılık,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ALTAY HAVACILIK VE UZAY TEKNOLOJİLERİ A.Ş.,+90 (212) 285 71 92,https://altaytechgroup.com
Sağlık Hizmetleri,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",CEIBA,+90 (212) 285 71 92,http://www.ceibateleicu.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",MYCONOM BİYO MALZEME VE TARIM TEKNOLOJİLERİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Sargetek Firması, G&ouml;r&uuml;nt&uuml; Tabanlı B&uuml;y&uuml;k Veri uygulamaları alanında &Uuml;lkemizin ve D&uuml;nyanın &ouml;nc&uuml; firmalarından biri olmak i&ccedil;in &ccedil;alışmalarını s&uuml;rd&uuml;rmekte ve geliştirmekte olduğu Yapay Zeka teknolojileri ile &ccedil;eşitli alanlarda fark yaratmayı hedeflemektedir","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",SARGETEK,+90 (212) 285 45 79-80 (4 Hat),http://sargetek.com.tr/
Bilişim,ariteknokent@ariteknokent.com.tr,"NaviMod,&nbsp;şirketlerin iş s&uuml;re&ccedil;lerindeki etkinliğini artırmak ve y&ouml;neticilerin en doğru kararları verebilmesini sağlamak amacı ile yeni teknolojileri entegre eder, analitik modeller oluşturur ve bunları&nbsp; kullanan karar destek sistemleri geliştirir. Veri Analitiği, B&uuml;y&uuml;k Veri ve End&uuml;stri 4.0 teknolojileri konusunda uzmanlığı bulunan Navimod, &uuml;retim, finans, &nbsp;lojistik, perkande vb &ccedil;ok farklı sekt&ouml;rlerde faaliyet g&ouml;stermektedir.",Ankara,NAVİMOD BİLİŞİM,,http://navimod.com/
Telekomünikasyon,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",ERICSSON TELEKOMÜNİKASYON A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.ericsson.com/en
Otomotiv,ariteknokent@ariteknokent.com.tr,Mekatro geliştirdiği elektrik motorları ve g&uuml;&ccedil; elektroniği sistemleri ile &uuml;lkemiz teknolojisini uluslararası d&uuml;zeye &ccedil;ıkarmıştır.,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",MEKATRO,+90 (212) 285 07 89,http://www.mekatro.com
Bilişim,ariteknokent@ariteknokent.com.tr,"&nbsp; 2015 yılında kurulan Tazi, akademi ve end&uuml;stride 25 yılı aşkın Makine &Ouml;ğrenimi (ML) ve b&uuml;y&uuml;k &ouml;l&ccedil;ekli sistem deneyimine dayanmaktadır.&nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",TAZİ BİLİŞİM TEKNOLOJİLERİ A.Ş.,+90 (212) 285 45 79-80 (4 Hat),http://tazi.ai/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",KARTNET BİLGİSAYAR SAN. VE TİC. A.Ş.,+90 (212) 285 71 92,http://www.cardtek.com
Bilişim,ariteknokent@ariteknokent.com.tr,"Artiwise, yapay zeka ile m&uuml;şterilerinizi daha iyi analiz etmenizi, anlamanızı ve iletişim kurmanızı sağlarken, %70&rsquo;e varan operasyonel verimliliğin yanında %90 ve &uuml;zeri yapay zeka &ouml;zellik tabanlı duygu analizi ile m&uuml;şteri memnuniyet skorunuzu y&uuml;kselterek m&uuml;şteri deneyiminizi iyileştirir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 4 Binası Maslak / İstanbul",ARTIWISE,+90 (212) 309 99 95,http://artiwise.com/
Yazılım,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",YEŞİL PANDA YAZILIM VE DANIŞMANLIK A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://www.kavaken.com/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,Ericsson 130 yıldır T&uuml;rkiye&rsquo;de iletişim altyapısının kurulmasında aktif rol oynamış ve 2020 yılında 8 sertifikalı yerli yazılım &uuml;r&uuml;n&uuml; dahil olmak &uuml;zere 38 &uuml;lkeye ihracat yapmıştır.,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",ERICSSON,+90 (212) 285 07 89,http://www.ericsson.com/tr
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Artge Teknoloji; y&uuml;z tanıma, g&ouml;r&uuml;nt&uuml; ve sinyal işleme, bilgisayarlı g&ouml;r&uuml;, &ouml;r&uuml;nt&uuml;-imge tanıma, veri analizi, yapay zeka gibi konularda &ouml;zg&uuml;n bilimsel &ccedil;alışmalarını &ldquo;akıllı&rdquo; yazılım tabanlı uygulama ve &ccedil;&ouml;z&uuml;mlere d&ouml;n&uuml;şt&uuml;rmektedir.",Ankara,ARTGE,,http://www.artge.net
Havacılık,ariteknokent@ariteknokent.com.tr,T&uuml;rk U&ccedil;ak Sanayii Anonim Ortaklığı&nbsp;T&uuml;rkiye&#39;nin savunma sanayiinde dışa bağımlılığını azaltmak amacıyla Sanayi ve Teknoloji Bakanlığı b&uuml;nyesinde kurulan bir şirkettir. &nbsp;,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",TUSAŞ - TÜRK HAVACILIK VE UZAY SANAYİ ANONİM ŞİRKETİ,+90 (212) 285 71 92,https://www.tusas.com/
Yazılım,ariteknokent@ariteknokent.com.tr,"&nbsp; Linksa&nbsp;Yazılım, Toptan Telekom pazarında markanızın iş boyutunu&nbsp;b&uuml;y&uuml;tmeyi kolaylaştıran bir firmadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",LİNKSA YAZILIM GELİŞTİRME VE TİCARET A.Ş.,+90 (212) 285 71 92,http://www.linxa.com
Mühendislik,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",GEAR ARGE MÜHENDİSLİK A.Ş.,+90 (212) 285 45 79-80 (4 Hat),
Fintech,ariteknokent@ariteknokent.com.tr,"Ludens,&nbsp;hem piyasa profesyonelleri hem de bireysel yatırımcılar i&ccedil;in faydalı ara&ccedil;lar oluşturmayı&nbsp;ve bilimsel y&ouml;ntemleri pratik uygulamalara d&ouml;n&uuml;şt&uuml;rerek yatırım kararlarına destek olan bir firmadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",Ludens ileri Finansal Hizmetler ve Danismanlik Ltd. Sti.,+90 (212) 285 71 92,https://www.ludens.com.tr/home/
Enerji,ariteknokent@ariteknokent.com.tr,"&nbsp;Cosa, akıllı ev teknolojisi sayesinde m&uuml;şterilerine&nbsp;konforlu bir yaşam vaad ederken doğalgaz faturasından&nbsp;da tasarruf etmelerini&nbsp;sağlayan bir hizmet vermektedir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",NUVİA ENERJİ TEKNOLOJİLERİ SANAYİ VE TİCARET A.Ş.,+90 (212) 285 71 92,http://www.nuvia.com.tr
Yazılım,ariteknokent@ariteknokent.com.tr,"Ergovisio, sağlık, sağlık, spor ve kozmetik i&ccedil;in y&uuml;ksek kaliteli multispektral g&ouml;r&uuml;nt&uuml;leme sistemleri tasarlamaktadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",ERGOVISIO TEKNOLOJİ LİMİTED ŞİRKETİ,+90 (212) 285 71 92,http://ergovisio.com/
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Deneyim y&ouml;netim platformu Wiseback, işletmelerin hem m&uuml;şteri (CX) hem de &ccedil;alışan (EX) deneyimlerini y&ouml;netmesini sağlayan bulut tabanlı gelişmiş bir &ccedil;&ouml;z&uuml;m sunmaktadır","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",Wiseback,+90 (212) 285 71 92,https://www.wiseback.com/tr/
Yazılım,ariteknokent@ariteknokent.com.tr,"100 bini aşkın firmanın tercih ettiği Mikro Yazılım, T&uuml;rkiye&rsquo;nin k&ouml;kl&uuml;, &ouml;nc&uuml;, yenilik&ccedil;i ve her sekt&ouml;rdeki &amp; &ouml;l&ccedil;ekteki işletmelere &ouml;zel geniş &uuml;r&uuml;n yelpazesine sahip yazılım servis şirketidir.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 2 Binası Maslak / İstanbul",MİKRO YAZILIM,+90 (212) 285 07 89,http://mikro.com.tr
Bilişim Teknolojiler,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",Ankabeta Bilişim Teknolojileri A.Ş.,+90 (212) 285 71 92,https://www.ankabeta.com/
Yazılım,ariteknokent@ariteknokent.com.tr,"Pitcher, satış temsilcilerinizin, satış ve pazarlama ekiplerinizin &ouml;zel g&ouml;revlerini verimli bir şekilde y&uuml;r&uuml;tmelerini sağlayan , sekt&ouml;rdeki en iyi uygulamalara dayanan sezgisel mobil teknolojiden yararlanan bir firmadır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",PİTCHER YAZILIM VE BİLGİ TEKNOLOJİLERİ LTD. ŞTİ.,+90 (212) 285 71 92,http://www.pitcher.com/
Enerji,ariteknokent@ariteknokent.com.tr,"METEO ENERJİ; YENİLENEBİLİR ENERJİ, METEOROLOJİ, KLİMATOLOJİ ve HİDROLOJİ ALANLARINDA G&Uuml;VENİLİR, BİLİMSEL ve ULUSLARARASI D&Uuml;ZEYDE &Ccedil;&Ouml;Z&Uuml;M ORTAĞINIZ","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",METEO ENERJİ,+90 (212) 285 45 79-80 (4 Hat),http://www.meteoenerji.com/
Geri Dönüşüm,ariteknokent@ariteknokent.com.tr,"TAGEM, insan ve &ccedil;evre faydasına olabilecek projelere danışmanlık yapmak, ihtiya&ccedil; duyulan alanlarda ar-ge hizmeti vermek; &uuml;retim ve işletme alanında y&uuml;ksek performanslı, maliyet etkin, bilgisayarlarla t&uuml;mleşik teknolojik &ccedil;&ouml;z&uuml;mler geliştirmek; yeni teknolojilerle yol g&ouml;sterici olmak amacıyla kurulmuştur.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",TAGEM TEKNOLOJİ ARAŞTIRMA GELİŞTİRME MERKEZİ SAN. TİC. LTD. ŞTİ.,+90 (212) 285 71 92,http://tagemteknoloji.com
Bilgi Teknolojisi,ariteknokent@ariteknokent.com.tr,"iyiMakina.com&rsquo;un uzman ekspertiz ekibinin hazırladığı ekspertiz raporu, size A&rsquo;dan Z&rsquo;ye t&uuml;m bilgileri vererek nasıl bir makina alacağınızı &ouml;nceden bilmenizi sağlar.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",İYİ MAKİNA BİLGİ TEKNOLOJİLERİ VE TİC. A.Ş.,+90 (212) 285 71 92,https://www.iyimakina.com/
Bilgi Teknolojisi,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",MTS OKYANUS BİLGİ TEKNOLOJİ SİSTEMLERİ LİMİTED ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),
Makine,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",Hyperever Makina Sanayi ve Ticaret Anonim Şirketi,+90 (212) 285 45 79-80 (4 Hat),https://hyperever.com/
Yazılım,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",İNVENTUNA TEKNOLOJİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://www.inventuna.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",TALGEM TEKNOLOJİ ARGE LAB. HİZ. GELİŞTİRME TİC. LTD. ŞTİ.,+90 (212) 285 45 79-80 (4 Hat),
Bilgi Teknolojisi,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",TELCOMİT BİLGİ İLETİŞİM SİSTEMLERİ VE DANIŞMANLIK SANAYİ TİCARET AHMET CÜNEYD TANTUĞ,+90 (212) 285 71 92,http://www.tantug.com
Bilgisayar ve İletişim Teknolojileri,ariteknokent@ariteknokent.com.tr,"Oksijen Ar-Ge provides next generation service platforms and innovative end-to-end value added service solutions. As a Vodafone Group company, its main focus is Vodafone Turkey and all other Vodafone Group operators.&nbsp;","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",VODAFONE,+90 (212) 285 45 79-80 (4 Hat),http://www.vodafoneteknoloji.com.tr/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",OROYA TÜNELCİLİK VE YER BİLİMLERİ TEKNOLOJİLERİ A.Ş.,+90 (212) 285 45 79-80 (4 Hat),
Otomasyon,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",ESG YAZILIM ELEKTRONİK ARGE HİZMETLERİ VE OTOMASYON SANAYİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://esgsistem.com/
Teknoloji,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",CoSure Teknoloji A.Ş.,+90 (212) 285 45 79-80 (4 Hat),https://cosure.co/
Bilişim,ariteknokent@ariteknokent.com.tr,"MIT, tasarımcıları ve işletmeleri bir araya getiren, yapay zeka tabanlı &quot;son teknoloji&quot; bir desen tasarım aracıdır.","İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 1 Binası Maslak / İstanbul",MYTH YAPAY ZEKA VE TEKSTİL A.Ş.,+90 (212) 285 71 92,https://myth-ai.herokuapp.com/home
Elektronik,ariteknokent@ariteknokent.com.tr,,"İTÜ Ayazağa Yerleşkesi, Koru Yolu ARI 3 Binası Maslak / İstanbul",BYQEE TEKNOLOJİ ANONİM ŞİRKETİ,+90 (212) 285 45 79-80 (4 Hat),https://byqee.tech/tr/
