company_area,company_contact_mail,company_desc,company_location,company_name,company_phone,company_website
YAZILIM,adem.cicek@hotmail.com; info@hacettepeteknokent.com.tr,,Ankara,Larinsoft Bilişim Teknoloji Anonim Şirketi,(532) 244-58-22; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,cihan@laborbilisim.com; info@hacettepeteknokent.com.tr,,Ankara,Labor Bilişim Medikal İnşaat Yayıncılık Ticaret Ltd. Şti.,(533) 744-48-24; (312) 297 71 62; (312) 297 60 93,http://www.laborbilisim.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.laborbilisim.com
YAZILIM,info@hacettepeteknokent.com.tr; info@lupe.com.tr,,Ankara,LUPE BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,(312) 219-52-30; (312) 297 71 62; (312) 297 60 93,http://www.lupe.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.lupe.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; muhasebe@lotec.com.tr,,Ankara,LOTEC TEKNOLOJİ LİMİTED ŞİRKETİ,(312) 227-03-06; (312) 297 71 62; (312) 297 60 93,http://www.lotec.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.lotec.com.tr
YAZILIM,Alper.Sayar@logo.com.tr; info@hacettepeteknokent.com.tr,,Ankara,LOGO YAZILIM SANAYİ VE TİCARET ANONİM ŞİRKETİ,(262) 679-80-00; (312) 297 71 62; (312) 297 60 93,http://www.logo.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.logo.com.tr
YAZILIM,bilgi@obrosoft.com; info@hacettepeteknokent.com.tr,,Ankara,KRAAT REKLAM VE BİLİŞİM SAN. TİC. LTD. ŞTİ.,(555) 558-11-23; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@kapitta.com,,Ankara,KAPİTTA BİLİŞİM ANONİM ŞİRKETİ,(535) 961-94-69; (312) 297 71 62; (312) 297 60 93,http://www.kapitta.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.kapitta.com
YAZILIM,info@hacettepeteknokent.com.tr; oguzhan.ozarslan@restozi.com,,Ankara,KAPTAN YAZILIM TEKNOLOJİLERİ ANONİM ŞİRKETİ,(554) 138-42-81; (312) 297 71 62; (312) 297 60 93,http://www.restozi.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.restozi.com
YAZILIM,info@hacettepeteknokent.com.tr; info@inappto.com.tr,,Ankara,INAPPTO YAZILIM TASARIM BİLİŞİM REKLAM TEKNOLOJİ DANIŞMANLIK VE TİCARET LİMİTED ŞİRKETİ,(312) 911-88-41; (312) 297 71 62; (312) 297 60 93,http://inappto.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@hoytek.com.tr,,Ankara,Hoytek Bilgisayar Yazılım Mimarlık Müh. Mümessillik Enerji Ve Sanayi Tic. Ltd. Şti.,(312) 227-02-64; (312) 297 71 62; (312) 297 60 93,http://www.hoytek.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.hoytek.com.tr
YAZILIM,ardproje@ardgrup.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Hightech Bilgi Teknolojileri Anonim Şirketi,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.hightechs.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.hightechs.com.tr
YAZILIM,info@hacettepeteknokent.com.tr; melisorakci@gmail.com,,Ankara,Hcg Madencilik Çevre Yazılım Donanım İnş. Ve Arge Hiz. San. Tic. Ltd. Şti.,(312) 227-06-30; (312) 297 71 62; (312) 297 60 93,http://www.hcg-cmptech.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.hcg-cmptech.com
YAZILIM,info@hacettepeteknokent.com.tr; yak@harptek.com,,Ankara,Harptek Araştırma Geliştirme Mühendislik Yazılım Limited Şirketi,(312) 227-06-23; (312) 297 71 62; (312) 297 60 93,http://www.harptek.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.harptek.com
YAZILIM,can.meral@hypermonkgames.com; info@hacettepeteknokent.com.tr,,Ankara,HYPERMONK GAMES OYUN YAZILIM PAZARLAMA VE DANIŞMANLIK ANONİM ŞİRKETİ,(531) 294-91-16; (312) 297 71 62; (312) 297 60 93,http://www.hypermonkgames.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.hypermonkgames.com
YAZILIM,ahmet.senturk@heapgames.com; info@hacettepeteknokent.com.tr,,Ankara,HEAP GAMES OYUN VE TEKNOLOJİ ANONİM ŞİRKETİ,(554) 791-13-14; (312) 297 71 62; (312) 297 60 93,http://www.heapgames.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.heapgames.com
YAZILIM,destek@healtius.com; info@hacettepeteknokent.com.tr,,Ankara,HEALTİUS TEKNOLOJİ ANONİM ŞİRKETİ,(506) 296-76-90; (312) 297 71 62; (312) 297 60 93,http://www.healtius.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.healtius.com
YAZILIM,destek@h3gen.com; info@hacettepeteknokent.com.tr,,Ankara,H3gen Yazılım Sanayi Ve Ticaret Limited Şirketi,(535) 566-82-24; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.h3gen.com/; https://www.hacettepettm.com/
YAZILIM,ikaya@guris.com.tr; info@hacettepeteknokent.com.tr,,Ankara,GÜRİŞ TEKNOLOJİ ANONİM ŞİRKETİ,(312) 484-05-70; (312) 297 71 62; (312) 297 60 93,http://www.guristeknoloji.com.tr; https://hacettepe.edu.tr; https://www.guristeknoloji.com.tr; https://www.hacettepettm.com/
YAZILIM,info@gammate.studio; info@hacettepeteknokent.com.tr,,Ankara,GAMMATE BİLİŞİM HİZMETLERİ ANONİM ŞİRKETİ,(534) 551-01-34; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; yilmazsedat17100@gmail.com,,Ankara,FİNOVATİON PARTNERS TEKNOLOJİ VE DANIŞMANLIK ANONİM ŞİRKETİ,(538) 041-07-20; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; nurcan.toker@forte.com.tr,,Ankara,Forte Bilgi İletişim Teknolojileri Ve Savunma Sanayi Ticaret A.Ş.,(312) 473-40-83; (312) 297 71 62; (312) 297 60 93,http://www.forte.com.tr; https://hacettepe.edu.tr; https://www.forte.com.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; measlantas@fonetyazilim.com,,Ankara,Fonet Bilgi Teknolojileri A.Ş.,(312) 438-59-19; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@flatgames.com; info@hacettepeteknokent.com.tr,,Ankara,FLAT GAMES YAZILIM ANONİM ŞİRKETİ,(506) 051-85-86; (312) 297 71 62; (312) 297 60 93,http://flatgames.co/; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@firestudios.io; info@hacettepeteknokent.com.tr,,Ankara,FIRE STUDIOS OYUN TEKNOLOJİLERİ ANONİM ŞİRKETİ,(312) 111-11-11; (312) 297 71 62; (312) 297 60 93,http://www.firestudios.io; https://hacettepe.edu.tr; https://www.firestudios.io; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; ridvan@farmayazilim.com,,Ankara,FARMA YAZILIM TEKNOLOJİ İHRACAT SANAYİ TİCARET ANONİM ŞİRKETİ,(542) 257-80-64; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@eywin.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Eywin Bilgi Teknolojileri A.Ş.,(312) 512-63-34; (312) 297 71 62; (312) 297 60 93,https://eywin.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,finance@etiya.com; info@hacettepeteknokent.com.tr,,Ankara,Etiya Bilgi Teknolojileri Yazılım Sanayi Ve Ticaret A.Ş.,(312) 265-01-50; (312) 297 71 62; (312) 297 60 93,http://www.etiya.com; https://hacettepe.edu.tr; https://www.etiya.com; https://www.hacettepettm.com/
YAZILIM,bilgi@etgigrup.com; info@hacettepeteknokent.com.tr,,Ankara,Etgi Grup Bilişim Teknolojileri Yazılım Don. Bilgisayar Mim. Müh. İnş. Taah. İth. İhr. Tic. A.Ş.,(312) 344-88-83; (312) 297 71 62; (312) 297 60 93,http://www.etgigrup.com; https://hacettepe.edu.tr; https://www.etgigrup.com; https://www.hacettepettm.com/
YAZILIM,info@estep.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Estep Bilişim Araştırma Ajans Eğitim Dan. Hizm. San. Ve Tic. Ltd. Şti.,(312) 227-00-53; (312) 297 71 62; (312) 297 60 93,http://www.estep.com.tr; https://hacettepe.edu.tr; https://www.estep.com.tr; https://www.hacettepettm.com/
YAZILIM,info@eldbilisim.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Eld Bilişim Sanayi Ticaret A.Ş.,(312) 988-03-98; (312) 297 71 62; (312) 297 60 93,http://www.eldbilisim.com.tr; https://hacettepe.edu.tr; https://www.eldbilisim.com.tr; https://www.hacettepettm.com/
YAZILIM,info@ekodenge.com; info@hacettepeteknokent.com.tr,,Ankara,Ekodenge Mühendislik Mimarlık Danışmanlık Tic. A.Ş.,(312) 299-25-55; (312) 297 71 62; (312) 297 60 93,http://www.ekodenge.com; https://hacettepe.edu.tr; https://www.ekodenge.com; https://www.hacettepettm.com/
YAZILIM,finans@erpa.com.tr; info@hacettepeteknokent.com.tr,,Ankara,ERPA FİNANSAL TEKNOLOJİLER VE YAZILIM ANONİM ŞİRKETİ,(533) 025-41-21; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@spac.com.tr,,Ankara,EPY TEKNOLOJİ ANONİM ŞİRKETİ,(532) 464-38-14; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,ersungulbas@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,ENDURANS TEKNOLOJİ ANONİM ŞİRKETİ,(532) 317-33-53; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; tolga@elitarge.com,,Ankara,ELİT ARGE YAZILIM BİLİŞİM PROJE REKLAM DANIŞMANLIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,(541) 501-61-23; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@extremepacs.com; info@hacettepeteknokent.com.tr,,Ankara,EKSTREM BİR BİLGİSAYAR İÇ VE DIŞ TİC. LTD. ŞTİ.,(312) 299-26-24; (312) 297 71 62; (312) 297 60 93,http://www.extremepacs.com; https://hacettepe.edu.tr; https://www.extremepacs.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; tugkantuglular@gmail.com,,Ankara,EFSORA TEKNOLOJİ ANONİM ŞİRKETİ,(532) 225-42-21; (312) 297 71 62; (312) 297 60 93,http://www.efsora.com; https://hacettepe.edu.tr; https://www.efsora.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; selinakduman@gmail.com,,Ankara,EDUFOX EĞİTİM YAZILIM ARGE LİMİTED ŞİRKETİ,(531) 733-54-02; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@arksoft.com.tr; info@hacettepeteknokent.com.tr,,Ankara,E2P BİLİŞİM TEKNOLOJİ TİCARET SANAYİ ANONİM ŞİRKETİ,(312) 502-21-21; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; muhasebe@e-imzatr.com.tr,,Ankara,E-imza Bilgi Güvenliği Hizmetleri A.Ş.,(312) 240-74-97; (312) 297 71 62; (312) 297 60 93,http://www.e-imzatr.com.tr; https://hacettepe.edu.tr; https://www.e-imzatr.com.tr; https://www.hacettepettm.com/
YAZILIM,info@eb.com.tr; info@hacettepeteknokent.com.tr; niran.muslu@eb.com.tr,,Ankara,Das Doküman Arşivleme Ve Yönetim Sistemleri A.Ş.,(312) 463-88-00; (312) 297 71 62; (312) 297 60 93,http://www.eb.com.tr; https://hacettepe.edu.tr; https://www.eb.com.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; proje@dallmeier.com.tr,,Ankara,Dallmeıer Turkey Elektronik Sanayi Ve Ticaret Anonim Şirketi,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.dallmeier.com.tr; https://hacettepe.edu.tr; https://www.dallmeier.com.tr; https://www.hacettepettm.com/
YAZILIM,iduru@durubilisim.com; info@hacettepeteknokent.com.tr,,Ankara,DURU BİLİŞİM TEKNOLOJİLERİ İLETİŞİM YAYINCILIK EĞİTİM İNŞAAT EMLAK ELEKTRONİK İTHALAT İHRACAT İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,(312) 428-28-90; (312) 297 71 62; (312) 297 60 93,http://www.durubilisim.com; https://hacettepe.edu.tr; https://www.durubilisim.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; muhasebe@dataflowx.com,,Ankara,DATAFLOWX TEKNOLOJİ ANONİM ŞİRKETİ,(312) 240-32-36; (312) 297 71 62; (312) 297 60 93,http://www.dataflowx.com; https://hacettepe.edu.tr; https://www.dataflowx.com; https://www.hacettepettm.com/
YAZILIM,craftgamesanonim@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,Craft Games Oyun Teknolojileri Anonim Şirketi,(531) 555-39-39; (312) 297 71 62; (312) 297 60 93,https://craftgamesanonim.github.io/; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,ardproje@ardgrup.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Consultech Danışmanlık Anonim Şirketi,(312) 227-00-13; (312) 297 71 62; (312) 297 60 93,http://www.consultech.com.tr; https://hacettepe.edu.tr; https://www.consultech.com.tr; https://www.hacettepettm.com/
YAZILIM,info@bilyazilim.com; info@hacettepeteknokent.com.tr,,Ankara,BİL YAZILIM VE ELEKTRONİK SİS. BİLG. MÜH. SAN. VE TİC. LTD. ŞTİ.,(312) 227-05-97; (312) 297 71 62; (312) 297 60 93,http://www.bilyazilim.com; https://hacettepe.edu.tr; https://www.bilyazilim.com; https://www.hacettepettm.com/
YAZILIM,info@bsytechs.com; info@hacettepeteknokent.com.tr,,Ankara,BÜYÜK SAVUNMA VE YAZILIM TEKNOLOJİLERİ ANONİM ŞİRKETİ,(312) 227-06-34; (312) 297 71 62; (312) 297 60 93,http://www.bsytechs.com; https://hacettepe.edu.tr; https://www.bsytechs.com; https://www.hacettepettm.com/
YAZILIM,info@bisoft.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Bisoft Bilgi Teknolojileri A.Ş.,(312) 220-12-20; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@bilgisim.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Bilgisim Bilişim Sistemleri San. Ve Tic. A.Ş.,(555) 284-54-11; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,iletisim@bilfo.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Bilfo Bilgisayar Ve Bilişim Sistemleri Ltd. Şti.,(312) 436-65-10; (312) 297 71 62; (312) 297 60 93,http://www.bilfo.com.tr; https://hacettepe.edu.tr; https://www.bilfo.com.tr; https://www.hacettepettm.com/
YAZILIM,askoyuncugil@yahoo.com; info@hacettepeteknokent.com.tr,,Ankara,Bib Yazılım Savunma İnşaat Enerji Eğitim Reklam Turizm Sanayi Ve Ticaret Anonim Şirketi,(532) 665-70-84; (312) 297 71 62; (312) 297 60 93,http://www.bib-web.com; https://hacettepe.edu.tr; https://www.bib-web.com; https://www.hacettepettm.com/
YAZILIM,berkbozkurt@gmail.com; info@hacettepeteknokent.com.tr,,Ankara,Berk Bozkurt,(312) 111-11-11; (312) 297 71 62; (312) 297 60 93,https://firestudios.io; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,belsis@belsis.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Belsis Bilgisayar Yazılım İletişim Hizm. Tic. Ve San. Ltd. Şti.,(850) 840-25-77; (312) 297 71 62; (312) 297 60 93,http://www.belsis.com.tr; https://hacettepe.edu.tr; https://www.belsis.com.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; oaytekin@bytecraft.com.tr,,Ankara,BYTECRAFT HAVACILIK TEKNOLOJİLERİ ANONİM ŞİRKETİ,(545) 830-13-45; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,ilker.tastan@byteyazilim.net; info@hacettepeteknokent.com.tr,,Ankara,BYTE SOFTWARE YAZILIM ÇÖZÜMLERI TEKNIK VE DANISMANLIK LIMITED SIRKETI,(532) 303-81-38; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,bilgi@brfyazilim.com; info@hacettepeteknokent.com.tr,,Ankara,BRF YAZILIM BILISIM TEKNOLOJI ELEKTRONIK TICARET ANONIM SIRKETI,(533) 818-27-14; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,brain@brainlowcode.com; info@hacettepeteknokent.com.tr,,Ankara,BRAIN BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,(540) 272-46-06; (312) 297 71 62; (312) 297 60 93,http://www.brainlowcode.com; https://hacettepe.edu.tr; https://www.brainlowcode.com; https://www.hacettepettm.com/
YAZILIM,atreusmuhasebe@hotmail.com; info@hacettepeteknokent.com.tr,,Ankara,Atreus Teknoloji Anonim Şirketi,(505) 728-67-44; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; safaksevinc@arkitek.com.tr,,Ankara,Arkitek Araştırma Geliştirme Anonim Şirketi,(312) 227-50-00; (312) 297 71 62; (312) 297 60 93,http://arkitek.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; proje@ardsavunma.com.tr,,Ankara,Ard Grup Savunma Korunma Güvenlik Sistemleri San. Ve Tic. A.Ş.,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.ardsavunma.com.tr; https://hacettepe.edu.tr; https://www.ardsavunma.com.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; proje@ardproje.com.tr,,Ankara,Ard Grup Proje Yönetim Danışmanlık A.Ş.,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.ardgrup.com.tr; https://hacettepe.edu.tr; https://www.ardgrup.com.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; proje@ardholding.com.tr,,Ankara,Ard Grup Holding A.Ş.,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.ardgrup.com.tr; https://hacettepe.edu.tr; https://www.ardgrup.com.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; proje@ardgayrimenkul.com.tr,,Ankara,Ard Grup Gayrimenkul Yatırım İnşaat San. Ve Tic. A.Ş.,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@aniventi.com; info@hacettepeteknokent.com.tr,,Ankara,Aniventi İnovasyon Bilişim Ve Teknoloji Anonim Şirketi,(850) 227-72-70; (312) 297 71 62; (312) 297 60 93,http://www.aniventi.com/; https://hacettepe.edu.tr; https://www.aniventi.com/; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; umut@alcyno.com,,Ankara,Alcyno Bilişim Sanayi Ve Ticaret Anonim Şirketi,(553) 065-06-06; (312) 297 71 62; (312) 297 60 93,https://alcyno.com/anasayfa/; https://alcyno.com/anasayfa/&; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@albinasoft.com; info@hacettepeteknokent.com.tr,,Ankara,Albinasoft Yazılım Bilişim Ticaret A.Ş.,(312) 995-00-20; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@artivera.com; info@hacettepeteknokent.com.tr,,Ankara,ARTIVERA TEKNOLOJİ LİMİTED ŞİRKETİ,(545) 970-12-36; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@armikom.com; info@hacettepeteknokent.com.tr,,Ankara,ARMIKOM YAZILIM ANONIM SIRKETI,(312) 297 71 62; (312) 297 60 93,http://www.armikom.com; https://hacettepe.edu.tr; https://www.armikom.com; https://www.hacettepettm.com/
YAZILIM,ardproje@ardgrup.com.tr; info@hacettepeteknokent.com.tr,,Ankara,ARGEDOR BILISIM TEKNOLOJILERI SANAYI VE TICARET ANONIM SIRKETI,(312) 210-15-35; (312) 297 71 62; (312) 297 60 93,http://www.argedor.com; https://hacettepe.edu.tr; https://www.argedor.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; proje@ardsaglik.com.tr,,Ankara,ARD GRUP SAĞLIK MEDİKAL İLAÇ SAN. VE TİC. A.Ş.,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.ardsaglik.com.tr; https://hacettepe.edu.tr; https://www.ardsaglik.com.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; proje@ardenerji.com.tr,,Ankara,ARD GRUP ENERJİ SAN. VE TİC. A.Ş.,(312) 299-25-95; (312) 297 71 62; (312) 297 60 93,http://www.ardgrup.com.tr; https://hacettepe.edu.tr; https://www.ardgrup.com.tr; https://www.hacettepettm.com/
YAZILIM,eren.yasar@amazoisoftware.com; info@hacettepeteknokent.com.tr,,Ankara,AMAZOİXR TEKNİK SİMİLASYON YAZILIM ANONİM ŞİRKETİ,(505) 353-27-02; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@amazoisoftware.com; info@hacettepeteknokent.com.tr,,Ankara,AMAZOI BİLİŞİM SİSTEMLERİ ELEKTRONİK ARGE DANIŞMANLIK SİMÜLASYON SANAYİ VE TİCARET LİMİTED ŞİRKETİ,(553) 486-88-84; (312) 297 71 62; (312) 297 60 93,http://amazoisoftware.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; onurbilic@outlook.com,,Ankara,ALTIFY TECHNOLOJI BILISIM LIMITED SIRKETI,(532) 550-69-50; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.altifytech.com/; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; info@ipsizcambaz.com,,Ankara,ALLESGO ELEKTRONİK TİCARET VE BİLİŞİM SİSTEMLERİ ANONİM ŞİRKETİ,(312) 299-23-29; (312) 297 71 62; (312) 297 60 93,http://www.allesgo.com; https://hacettepe.edu.tr; https://www.allesgo.com; https://www.hacettepettm.com/
YAZILIM,bilgi@alkamanas.com; info@hacettepeteknokent.com.tr,,Ankara,ALKAMANAS BİLİŞİM TEKNOLOJİLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,(312) 460-17-64; (312) 297 71 62; (312) 297 60 93,http://www.alkamanas.com; https://hacettepe.edu.tr; https://www.alkamanas.com; https://www.hacettepettm.com/
YAZILIM,info@hacettepeteknokent.com.tr; my@314akademi.tr,,Ankara,314 AKADEMI EGITIM YAZILIM DANISMANLIK TICARET LIMITED SIRKETI,(538) 739-25-25; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
TELEKOMUNIKASYON,info@hacettepeteknokent.com.tr; mucahit.karacar@plan.space,,Ankara,CONNECTA ILETISIM HIZMETLERI ANONIM SIRKETI,(505) 115-20-78; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
TELEKOMUNIKASYON,info@hacettepeteknokent.com.tr; pgl@btk.gov.tr,,Ankara,Bilgi Teknolojileri Ve İletişim Kurumu,(312) 412-19-00; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://pgm.btk.gov; https://www.hacettepettm.com/
SAVUNMA,info@hacettepeteknokent.com.tr; info@yongatek.com,,Ankara,Yonga Teknoloji Mikroelektronik Araştırma Geliştirme Ticaret A.Ş.,(216) 504-14-10; (312) 297 71 62; (312) 297 60 93,http://www.yongatek.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.yongatek.com
SAVUNMA,info@hacettepeteknokent.com.tr; info@tei.com.tr,,Ankara,Tusaş Motor Sanayi A.Ş.,(312) 233-72-00; (312) 297 71 62; (312) 297 60 93,http://www.tei.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.tei.com.tr
SAVUNMA,elmas.tastan@tai.com.tr; info@hacettepeteknokent.com.tr,,Ankara,TUSAŞ TÜRK HAVACILIK UZAY SANAYİİ A.Ş.,(312) 811-18-00; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.tusas.com.tr
SAVUNMA,info@hacettepeteknokent.com.tr; trinfo@trmotor.com.tr,,Ankara,TRMOTOR Güç Sistemleri San. A.Ş.,(312) 969-37-00; (312) 297 71 62; (312) 297 60 93,http://www.trmotor.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.trmotor.com.tr
SAVUNMA,info@hacettepeteknokent.com.tr; info@siteplus.com.tr,,Ankara,Siteplus Özel Güvenlik Hizmetleri A.Ş.,(312) 236-12-56; (312) 297 71 62; (312) 297 60 93,http://siteplus.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/
SAVUNMA,gmkulali@sim-tek.com.tr; info@hacettepeteknokent.com.tr,,Ankara,Simtek Simülasyon Ve Bilişim Teknolojileri Eğitim Danışmanlık Mühendislik Tic.ltd.şti.,(312) 485-62-53; (312) 297 71 62; (312) 297 60 93,http://www.sim-tek.com.tr; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.sim-tek.com.tr
SAVUNMA,info@hacettepeteknokent.com.tr; sagaymuhendislik@gmail.com,,Ankara,Sagay Mühendislik Limited Şirketi,(533) 600-99-35; (312) 297 71 62; (312) 297 60 93,https://hacettepe.edu.tr; https://www.hacettepettm.com/
SAVUNMA,info@hacettepeteknokent.com.tr; info@skytronxsystems.com,,Ankara,SKYTRONX SYSTEMS A.Ş.,(533) 597-01-66; (312) 297 71 62; (312) 297 60 93,http://www.skytronxsystems.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.skytronxsystems.com
SAVUNMA,bilgi@nanovak.com; info@hacettepeteknokent.com.tr,,Ankara,Nanovak Ar-ge Bilişim Mühendislik Danışmanlık San. Ve Tic. A.Ş.,(312) 299-23-93; (312) 297 71 62; (312) 297 60 93,http://www.nanovak.com; https://hacettepe.edu.tr; https://www.hacettepettm.com/; https://www.nanovak.com
